Tags Santali(Ol Chiki) English
Language:IndianOfficial	ᱟᱥᱟᱢᱤ	Assamese
Language:IndianOfficial	ᱵᱮᱱᱜᱚᱞᱤ	Bengali
Language:IndianOfficial	ᱵᱚᱰᱚ	Bodo
Language:IndianOfficial	ᱰᱚᱜᱨᱤ	Dogri
Language:IndianOfficial	ᱜᱩᱡᱨᱟᱴᱤ	Gujarati
Language:IndianOfficial	ᱦᱤᱱᱫᱤ	Hindi
Language:IndianOfficial	ᱠᱚᱱᱱᱚᱰᱚ	Kannada
Language:IndianOfficial	ᱠᱟᱥᱢᱤᱨᱤ	Kashmiri
Language:IndianOfficial	ᱠᱚᱱᱠᱟᱱᱤ	Konkani
Language:IndianOfficial	ᱢᱮᱤᱛᱷᱤᱞᱤ	Maithili
Language:IndianOfficial	ᱢᱟᱞᱭᱟᱞᱟᱢ	Malayalam
Language:IndianOfficial	ᱢᱟᱱᱤᱯᱩᱨᱤ	Manipuri
Language:IndianOfficial	ᱢᱟᱨᱟᱴᱷᱤ	Marathi
Language:IndianOfficial	ᱱᱮᱯᱟᱞᱤ	Nepali
Language:IndianOfficial	ᱳᱰᱤᱭᱟ	Odia
Language:IndianOfficial	ᱯᱚᱸᱡᱟᱵᱤ	Punjabi
Language:IndianOfficial	ᱥᱚᱸᱥᱠᱨᱤᱛ	Sanskrit
Language:IndianOfficial	ᱥᱟᱱᱛᱟᱲᱤ	Santali
Language:IndianOfficial	ᱥᱤᱱᱫᱷᱤ	Sindhi
Language:IndianOfficial	ᱛᱟᱢᱤᱞ	Tamil
Language:IndianOfficial	ᱛᱮᱞᱜᱩ	Telgu
Language:IndianOfficial	ᱩᱨᱫᱩ	Urdu
